 ,Area,Mean,Min,Max,X,Y,Slice
725,0,2026,2026,2026,133,1220,1
726,0,2026,2026,2026,447,525,1
727,0,2025,2025,2025,1724,166,1
728,0,2024,2024,2024,649,745,1
729,0,2023,2023,2023,423,798,1
730,0,2023,2023,2023,1484,242,1
731,0,2019,2019,2019,1266,149,1
732,0,2018,2018,2018,809,412,1
733,0,2017,2017,2017,1583,143,1
734,0,2016,2016,2016,1121,1221,1
735,0,2016,2016,2016,795,480,1
736,0,2016,2016,2016,1469,246,1
737,0,2016,2016,2016,834,153,1
738,0,2015,2015,2015,681,620,1
739,0,2015,2015,2015,1679,206,1
740,0,2014,2014,2014,212,1224,1
741,0,2014,2014,2014,536,1180,1
742,0,2014,2014,2014,571,150,1
743,0,2013,2013,2013,1439,133,1
744,0,2012,2012,2012,580,568,1
745,0,2009,2009,2009,1247,184,1
746,0,2009,2009,2009,1106,112,1
747,0,2008,2008,2008,626,875,1
748,0,2008,2008,2008,1150,129,1
749,0,2007,2007,2007,805,567,1
750,0,2005,2005,2005,508,1250,1
751,0,2004,2004,2004,749,462,1
752,0,2003,2003,2003,1429,394,1
753,0,2003,2003,2003,1434,193,1
754,0,2002,2002,2002,1187,124,1
755,0,2000,2000,2000,350,853,1
756,0,2000,2000,2000,569,522,1
757,0,2000,2000,2000,1248,435,1
758,0,1997,1997,1997,453,915,1
759,0,1997,1997,1997,702,697,1
760,0,1996,1996,1996,1418,154,1
761,0,1995,1995,1995,795,240,1
762,0,1993,1993,1993,1022,235,1
763,0,1991,1991,1991,441,1237,1
764,0,1991,1991,1991,947,765,1
765,0,1989,1989,1989,1116,255,1
766,0,1988,1988,1988,578,834,1
767,0,1987,1987,1987,656,1089,1
768,0,1987,1987,1987,1120,151,1
769,0,1986,1986,1986,970,896,1
770,0,1985,1985,1985,649,962,1
771,0,1985,1985,1985,825,262,1
772,0,1984,1984,1984,726,551,1
773,0,1984,1984,1984,1614,183,1
774,0,1984,1984,1984,1579,86,1
775,0,1981,1981,1981,544,1130,1
776,0,1980,1980,1980,495,794,1
777,0,1980,1980,1980,1659,201,1
778,0,1978,1978,1978,348,770,1
779,0,1978,1978,1978,627,736,1
780,0,1978,1978,1978,1750,225,1
781,0,1978,1978,1978,1800,176,1
782,0,1972,1972,1972,619,763,1
783,0,1969,1969,1969,557,1158,1
784,0,1966,1966,1966,212,454,1
785,0,1965,1965,1965,675,479,1
786,0,1963,1963,1963,1404,175,1
787,0,1962,1962,1962,656,569,1
788,0,1961,1961,1961,960,294,1
789,0,1960,1960,1960,141,1198,1
790,0,1959,1959,1959,453,926,1
791,0,1958,1958,1958,1077,136,1
792,0,1955,1955,1955,1122,120,1
793,0,1951,1951,1951,569,1171,1
794,0,1950,1950,1950,951,1140,1
795,0,1946,1946,1946,391,1227,1
796,0,1942,1942,1942,392,713,1
797,0,1942,1942,1942,558,455,1
798,0,1940,1940,1940,125,1217,1
799,0,1938,1938,1938,826,108,1
800,0,1937,1937,1937,290,777,1
801,0,1937,1937,1937,1773,155,1
802,0,1936,1936,1936,444,1257,1
803,0,1936,1936,1936,582,781,1
804,0,1935,1935,1935,1374,1298,1
805,0,1934,1934,1934,1228,147,1
806,0,1932,1932,1932,706,483,1
807,0,1930,1930,1930,443,751,1
808,0,1929,1929,1929,1521,140,1
809,0,1928,1928,1928,450,986,1
810,0,1928,1928,1928,573,896,1
811,0,1927,1927,1927,532,502,1
812,0,1926,1926,1926,322,190,1
813,0,1925,1925,1925,532,1171,1
814,0,1925,1925,1925,660,603,1
815,0,1924,1924,1924,505,1228,1
816,0,1923,1923,1923,156,1198,1
817,0,1917,1917,1917,512,445,1
818,0,1915,1915,1915,821,1276,1
819,0,1914,1914,1914,68,551,1
820,0,1912,1912,1912,223,738,1
821,0,1906,1906,1906,456,1164,1
822,0,1906,1906,1906,417,811,1
823,0,1904,1904,1904,169,1067,1
824,0,1904,1904,1904,391,766,1
825,0,1903,1903,1903,391,1103,1
826,0,1903,1903,1903,465,869,1
827,0,1901,1901,1901,376,728,1
828,0,1900,1900,1900,476,854,1
829,0,1896,1896,1896,199,96,1
830,0,1895,1895,1895,449,1139,1
831,0,1895,1895,1895,411,800,1
832,0,1895,1895,1895,452,629,1
833,0,1893,1893,1893,157,709,1
834,0,1891,1891,1891,230,1104,1
835,0,1889,1889,1889,1575,70,1
836,0,1888,1888,1888,537,924,1
837,0,1888,1888,1888,685,514,1
838,0,1887,1887,1887,107,1168,1
839,0,1887,1887,1887,211,730,1
840,0,1883,1883,1883,488,837,1
841,0,1882,1882,1882,464,1060,1
842,0,1880,1880,1880,465,1198,1
843,0,1880,1880,1880,464,955,1
844,0,1880,1880,1880,450,888,1
845,0,1880,1880,1880,731,291,1
846,0,1878,1878,1878,405,879,1
847,0,1875,1875,1875,153,907,1
848,0,1873,1873,1873,741,229,1
849,0,1872,1872,1872,208,1097,1
850,0,1872,1872,1872,511,1096,1
851,0,1872,1872,1872,234,1037,1
852,0,1871,1871,1871,163,691,1
853,0,1870,1870,1870,753,86,1
854,0,1868,1868,1868,524,930,1
855,0,1867,1867,1867,542,302,1
856,0,1866,1866,1866,199,698,1
857,0,1864,1864,1864,200,890,1
858,0,1863,1863,1863,517,742,1
859,0,1859,1859,1859,432,1194,1
860,0,1859,1859,1859,544,417,1
861,0,1858,1858,1858,111,141,1
862,0,1857,1857,1857,240,1158,1
863,0,1856,1856,1856,514,837,1
864,0,1853,1853,1853,217,1127,1
865,0,1853,1853,1853,242,438,1
866,0,1851,1851,1851,207,1180,1
867,0,1850,1850,1850,375,832,1
868,0,1850,1850,1850,89,770,1
869,0,1849,1849,1849,263,755,1
870,0,1848,1848,1848,411,538,1
871,0,1846,1846,1846,206,1169,1
872,0,1844,1844,1844,642,235,1
873,0,1842,1842,1842,191,1171,1
874,0,1842,1842,1842,212,124,1
875,0,1839,1839,1839,251,1063,1
876,0,1838,1838,1838,199,136,1
877,0,1837,1837,1837,180,920,1
878,0,1836,1836,1836,227,1230,1
879,0,1834,1834,1834,428,1115,1
880,0,1833,1833,1833,364,759,1
881,0,1829,1829,1829,271,1115,1
882,0,1829,1829,1829,136,1054,1
883,0,1829,1829,1829,609,649,1
884,0,1828,1828,1828,515,807,1
885,0,1827,1827,1827,717,19,1
886,0,1825,1825,1825,478,1128,1
887,0,1825,1825,1825,161,790,1
888,0,1823,1823,1823,477,1039,1
889,0,1821,1821,1821,458,1126,1
890,0,1818,1818,1818,214,702,1
891,0,1815,1815,1815,123,1054,1
892,0,1814,1814,1814,147,849,1
893,0,1813,1813,1813,193,128,1
894,0,1812,1812,1812,458,485,1
895,0,1810,1810,1810,425,1282,1
896,0,1807,1807,1807,535,441,1
897,0,1806,1806,1806,278,801,1
898,0,1806,1806,1806,455,570,1
899,0,1804,1804,1804,165,715,1
900,0,1801,1801,1801,689,158,1
901,0,1797,1797,1797,264,426,1
902,0,1795,1795,1795,143,841,1
903,0,1794,1794,1794,143,1154,1
904,0,1794,1794,1794,279,766,1
905,0,1791,1791,1791,115,1184,1
906,0,1790,1790,1790,401,1181,1
907,0,1789,1789,1789,310,561,1
908,0,1788,1788,1788,112,1100,1
909,0,1786,1786,1786,118,845,1
910,0,1786,1786,1786,172,805,1
911,0,1785,1785,1785,258,773,1
912,0,1783,1783,1783,286,843,1
913,0,1782,1782,1782,229,1154,1
914,0,1777,1777,1777,64,149,1
915,0,1776,1776,1776,225,1082,1
916,0,1771,1771,1771,256,82,1
917,0,1770,1770,1770,97,1111,1
918,0,1769,1769,1769,82,751,1
919,0,1767,1767,1767,174,1096,1
920,0,1767,1767,1767,263,852,1
921,0,1759,1759,1759,235,767,1
922,0,1754,1754,1754,287,433,1
923,0,1752,1752,1752,94,519,1
924,0,1743,1743,1743,121,708,1
925,0,1743,1743,1743,257,283,1
926,0,1739,1739,1739,273,879,1
927,0,1737,1737,1737,288,1114,1
928,0,1737,1737,1737,333,1088,1
929,0,1737,1737,1737,216,866,1
930,0,1734,1734,1734,183,142,1
931,0,1734,1734,1734,50,28,1
932,0,1731,1731,1731,298,1132,1
933,0,1723,1723,1723,246,1170,1
934,0,1721,1721,1721,139,1114,1
935,0,1720,1720,1720,290,1142,1
936,0,1712,1712,1712,112,779,1
937,0,1712,1712,1712,106,202,1
938,0,1707,1707,1707,184,453,1
939,0,1704,1704,1704,173,858,1
940,0,1701,1701,1701,151,216,1
941,0,1698,1698,1698,173,1258,1
942,0,1689,1689,1689,69,629,1
943,0,1688,1688,1688,124,1172,1
944,0,1687,1687,1687,42,1077,1
945,0,1679,1679,1679,22,636,1
946,0,1672,1672,1672,91,229,1
947,0,1661,1661,1661,128,112,1
948,0,1629,1629,1629,42,601,1
